Time;Application throughput downlink;Ping round trip time;RS SNR;RSRQ (detected) - 1;RSRQ (detected) - 2;RSRQ (detected) - 3;RSRQ (detected) - 4;RSRQ (detected) - 5;RSRQ (detected) - 6;RSRP (detected) - 1;RSRP (detected) - 2;RSRP (detected) - 3;RSRP (detected) - 4;RSRP (detected) - 5;RSRP (detected) - 6
14:07:26.000;;;;-20.0; -20.0;;;;;-90.0; -90.0;;;;
14:07:26.000;;;20.2;;;;;;;;;;;;
14:07:26.543;6.9;;;;;;;;;;;;;;
14:07:26.718;;;;-20.0; -20.0;;;;;-87.0; -88.0;;;;
14:07:26.718;;;22.1;;;;;;;;;;;;
14:07:27.399;;;;-20.0; -20.0;;;;;-95.0; -96.0;;;;
14:07:27.399;;;23.6;;;;;;;;;;;;
14:07:27.559;6.8;;;;;;;;;;;;;;
14:07:28.122;;;;-20.0; -20.0;;;;;-95.0; -95.0;;;;
14:07:28.122;;;22.7;;;;;;;;;;;;
14:07:28.567;6.8;;;;;;;;;;;;;;
14:07:28.800;;;;-20.0; -20.0;;;;;-88.0; -89.0;;;;
14:07:28.800;;;24.9;;;;;;;;;;;;
14:07:29.518;;;;-20.0; -20.0;;;;;-86.0; -89.0;;;;
14:07:29.518;;;24.9;;;;;;;;;;;;
14:07:29.575;6.9;;;;;;;;;;;;;;
14:07:30.201;;;;-20.0; -20.0; -20.0; -20.0;;;-88.0; -92.0; -92.0; -92.0;;
14:07:30.201;;;25.3;;;;;;;;;;;;
14:07:30.592;6.8;;;;;;;;;;;;;;
14:07:30.919;;;;-19.5; -16.5; -20.0; -20.0;;;-90.0; -92.0; -94.0; -94.0;;
14:07:30.919;;;22.9;;;;;;;;;;;;
14:07:31.598;6.8;;;;;;;;;;;;;;
14:07:31.601;;;;-19.5; -20.0; -20.0; -20.0; -20.0;;-88.0; -90.0; -90.0; -91.0; -91.0;
14:07:31.601;;;23.4;;;;;;;;;;;;
14:07:32.281;;;;-20.0; -20.0; -20.0; -20.0; -20.0;;-87.0; -87.0; -89.0; -89.0; -89.0;
14:07:32.281;;;25.3;;;;;;;;;;;;
14:07:32.614;6.7;;;;;;;;;;;;;;
14:07:32.962;;;;-20.0; -19.5; -20.0; -20.0; -20.0; -20.0;-86.0; -86.0; -88.0; -88.0; -89.0; -89.0
14:07:32.962;;;26.8;;;;;;;;;;;;
14:07:33.622;6.9;;;;;;;;;;;;;;
14:07:33.641;;;;-20.0; -20.0; -20.0; -20.0; -20.0; -20.0;-85.0; -86.0; -86.0; -86.0; -86.0; -87.0
14:07:33.641;;;28.3;;;;;;;;;;;;
14:07:34.321;;;;-20.0; -19.5; -20.0; -20.0; -20.0; -20.0;-89.0; -89.0; -91.0; -92.0; -93.0; -93.0
14:07:34.321;;;24.6;;;;;;;;;;;;
14:07:34.637;6.9;;;;;;;;;;;;;;
14:07:35.041;;;;-20.0; -20.0; -20.0; -20.0; -20.0; -20.0;-84.0; -84.0; -85.0; -85.0; -86.0; -86.0
14:07:35.041;;;26.9;;;;;;;;;;;;
14:07:35.654;6.6;;;;;;;;;;;;;;
14:07:35.760;;;;-20.0; -20.0; -20.0; -20.0; -20.0;;-87.0; -88.0; -88.0; -89.0; -89.0;
14:07:35.760;;;24.7;;;;;;;;;;;;
14:07:36.480;;;;-20.0; -20.0; -20.0; -20.0; -20.0; -20.0;-85.0; -85.0; -86.0; -86.0; -86.0; -86.0
14:07:36.480;;;23.9;;;;;;;;;;;;
14:07:36.670;6.7;;;;;;;;;;;;;;
14:07:37.201;;;;-19.5; -20.0; -20.0; -20.0; -20.0; -20.0;-89.0; -91.0; -92.0; -92.0; -92.0; -92.0
14:07:37.201;;;25.5;;;;;;;;;;;;
14:07:37.685;6.5;;;;;;;;;;;;;;
14:07:37.881;;;;-20.0; -20.0; -20.0; -20.0; -20.0; -20.0;-91.0; -91.0; -91.0; -91.0; -92.0; -92.0
14:07:37.881;;;25.0;;;;;;;;;;;;
14:07:38.600;;;;-20.0; -20.0; -20.0; -20.0; -20.0;;-87.0; -88.0; -88.0; -89.0; -90.0;
14:07:38.600;;;26.1;;;;;;;;;;;;
14:07:38.693;6.7;;;;;;;;;;;;;;
14:07:39.280;;;;-20.0; -20.0; -20.0; -20.0; -20.0; -20.0;-84.0; -85.0; -85.0; -85.0; -85.0; -86.0
14:07:39.280;;;25.2;;;;;;;;;;;;
14:07:39.700;6.5;;;;;;;;;;;;;;
14:07:39.961;;;;-20.0; -20.0; -20.0; -20.0; -20.0; -20.0;-85.0; -85.0; -86.0; -87.0; -87.0; -87.0
14:07:39.961;;;28.3;;;;;;;;;;;;
14:07:40.642;;;;-20.0; -20.0; -20.0; -20.0; -20.0; -20.0;-84.0; -85.0; -85.0; -85.0; -85.0; -86.0
14:07:40.642;;;27.5;;;;;;;;;;;;
14:07:40.716;6.6;;;;;;;;;;;;;;
14:07:41.359;;;;-20.0; -20.0; -20.0; -20.0;;;-90.0; -91.0; -92.0; -92.0;;
14:07:41.359;;;27.3;;;;;;;;;;;;
14:07:41.733;6.7;;;;;;;;;;;;;;
14:07:42.042;;;;-20.0; -20.0; -20.0; -20.0; -20.0;;-87.0; -88.0; -88.0; -89.0; -89.0;
14:07:42.042;;;28.1;;;;;;;;;;;;
14:07:42.739;6.5;;;;;;;;;;;;;;
14:07:42.759;;;;-20.0; -20.0; -20.0; -20.0;;;-86.0; -88.0; -88.0; -89.0;;
14:07:42.759;;;28.2;;;;;;;;;;;;
14:07:43.439;;;;-20.0; -20.0; -20.0; -20.0;;;-85.0; -85.0; -86.0; -86.0;;
14:07:43.439;;;27.7;;;;;;;;;;;;
14:07:43.754;6.6;;;;;;;;;;;;;;
14:07:44.159;;;;-20.0; -20.0; -20.0; -20.0;;;-80.0; -80.0; -81.0; -82.0;;
14:07:44.159;;;28.3;;;;;;;;;;;;
14:07:44.771;6.4;;;;;;;;;;;;;;
14:07:44.878;;;;-20.0; -20.0; -20.0;;;;-85.0; -85.0; -87.0;;;
14:07:44.878;;;26.5;;;;;;;;;;;;
14:07:45.558;;;;-20.0; -20.0; -20.0;;;;-82.0; -83.0; -83.0;;;
14:07:45.558;;;26.1;;;;;;;;;;;;
14:07:45.778;6.6;;;;;;;;;;;;;;
14:07:46.238;;;;-20.0; -20.0; -20.0;;;;-85.0; -85.0; -85.0;;;
14:07:46.238;;;28.2;;;;;;;;;;;;
14:07:46.795;6.5;;;;;;;;;;;;;;
14:07:46.918;;;;-20.0; -20.0; -20.0;;;;-80.0; -80.0; -81.0;;;
14:07:46.918;;;28.8;;;;;;;;;;;;
14:07:47.639;;;;-20.0; -20.0;;;;;-83.0; -84.0;;;;
14:07:47.639;;;28.4;;;;;;;;;;;;
14:07:47.811;6.5;;;;;;;;;;;;;;
14:07:48.359;;;;-20.0; -20.0;;;;;-82.0; -82.0;;;;
14:07:48.359;;;27.7;;;;;;;;;;;;
14:07:48.825;6.3;;;;;;;;;;;;;;
14:07:49.039;;;;-20.0; -20.0;;;;;-87.0; -89.0;;;;
14:07:49.039;;;28.4;;;;;;;;;;;;
14:07:49.759;;;;-20.0; -20.0;;;;;-87.0; -89.0;;;;
14:07:49.759;;;28.0;;;;;;;;;;;;
14:07:49.833;6.4;;;;;;;;;;;;;;
14:07:50.479;;;;-20.0; -20.0;;;;;-89.0; -90.0;;;;
14:07:50.479;;;27.6;;;;;;;;;;;;
14:07:50.850;6.8;;;;;;;;;;;;;;
14:07:51.159;;;;-20.0; -20.0;;;;;-87.0; -89.0;;;;
14:07:51.159;;;27.6;;;;;;;;;;;;
14:07:51.872;6.7;;;;;;;;;;;;;;
14:07:51.879;;;;-20.0; -20.0;;;;;-89.0; -89.0;;;;
14:07:51.879;;;27.3;;;;;;;;;;;;
14:07:52.559;;;;-20.0; -20.0;;;;;-84.0; -87.0;;;;
14:07:52.559;;;27.0;;;;;;;;;;;;
14:07:52.873;6.7;;;;;;;;;;;;;;
14:07:53.279;;;;-20.0; -20.0;;;;;-85.0; -85.0;;;;
14:07:53.279;;;28.7;;;;;;;;;;;;
14:07:53.887;6.6;;;;;;;;;;;;;;
14:07:53.958;;;;-20.0; -20.0;;;;;-78.0; -79.0;;;;
14:07:53.958;;;28.9;;;;;;;;;;;;
14:07:54.639;;;;-20.0; -20.0;;;;;-79.0; -79.0;;;;
14:07:54.639;;;29.0;;;;;;;;;;;;
14:07:54.904;6.6;;;;;;;;;;;;;;
14:07:55.318;;;;-20.0; -20.0;;;;;-83.0; -83.0;;;;
14:07:55.318;;;29.1;;;;;;;;;;;;
14:07:55.920;6.8;;;;;;;;;;;;;;
14:07:55.999;;;;-20.0; -20.0;;;;;-81.0; -83.0;;;;
14:07:55.999;;;28.0;;;;;;;;;;;;
14:07:56.719;;;;-20.0; -20.0;;;;;-86.0; -86.0;;;;
14:07:56.719;;;27.8;;;;;;;;;;;;
14:07:57.670;;;;-20.0; -20.0;;;;;-81.0; -84.0;;;;
14:07:57.670;;;29.4;;;;;;;;;;;;
14:07:58.629;;;;-20.0; -20.0;;;;;-85.0; -87.0;;;;
14:07:58.629;;;26.4;;;;;;;;;;;;
14:07:59.913;;;;-20.0; -20.0;;;;;-90.0; -91.0;;;;
14:07:59.913;;;26.6;;;;;;;;;;;;
14:08:00.873;;;;-20.0; -20.0;;;;;-89.0; -90.0;;;;
14:08:00.873;;;28.9;;;;;;;;;;;;
14:08:01.833;;;;-20.0; -20.0;;;;;-87.0; -88.0;;;;
14:08:01.833;;;24.7;;;;;;;;;;;;
14:08:02.793;;;;-20.0; -20.0;;;;;-87.0; -89.0;;;;
14:08:02.793;;;24.4;;;;;;;;;;;;
14:08:03.752;;;;-20.0; -20.0;;;;;-86.0; -88.0;;;;
14:08:03.752;;;24.5;;;;;;;;;;;;
14:08:05.033;;;;-19.5; -20.0;;;;;-87.0; -89.0;;;;
14:08:05.033;;;24.4;;;;;;;;;;;;
14:08:05.993;;;;-20.0; -20.0;;;;;-90.0; -90.0;;;;
14:08:05.993;;;24.2;;;;;;;;;;;;
14:08:08.447;;;26.8;;;;;;;;;;;;
14:08:09.731;;;27.0;;;;;;;;;;;;
14:08:11.012;;;30.0;;;;;;;;;;;;
14:08:12.331;;;26.0;;;;;;;;;;;;
14:08:12.572;;137;;;;;;;;;;;;;
14:08:13.222;;;27.4;;;;;;;;;;;;
14:08:13.422;;39;;;;;;;;;;;;;
14:08:13.903;;;26.6;;;;;;;;;;;;
14:08:14.446;;63;;;;;;;;;;;;;
14:08:14.594;;;26.9;;;;;;;;;;;;
14:08:15.314;;;27.1;;;;;;;;;;;;
14:08:15.456;;35;;;;;;;;;;;;;
14:08:16.142;;;;-20.0;;;;;;-86.0;;;;;
14:08:16.142;;;26.1;;;;;;;;;;;;
14:08:16.442;;36;;;;;;;;;;;;;
14:08:17.116;;;;-20.0;;;;;;-89.0;;;;;
14:08:17.116;;;27.1;;;;;;;;;;;;
14:08:17.451;;52;;;;;;;;;;;;;
14:08:18.058;;;;-20.0;;;;;;-85.0;;;;;
14:08:18.058;;;26.6;;;;;;;;;;;;
14:08:18.445;;32;;;;;;;;;;;;;
14:08:19.019;;;;-20.0;;;;;;-84.0;;;;;
14:08:19.019;;;26.3;;;;;;;;;;;;
14:08:19.464;;41;;;;;;;;;;;;;
14:08:20.004;;;;-20.0;;;;;;-86.0;;;;;
14:08:20.004;;;28.4;;;;;;;;;;;;
14:08:20.451;;39;;;;;;;;;;;;;
14:08:20.965;;;;-20.0;;;;;;-89.0;;;;;
14:08:20.965;;;26.3;;;;;;;;;;;;
14:08:21.467;;37;;;;;;;;;;;;;
14:08:21.926;;;;-20.0;;;;;;-88.0;;;;;
14:08:21.926;;;24.5;;;;;;;;;;;;
14:08:22.859;;;;-20.0;;;;;;-87.0;;;;;
14:08:22.859;;;27.4;;;;;;;;;;;;
14:08:23.819;;;;-20.0;;;;;;-85.0;;;;;
14:08:23.819;;;26.6;;;;;;;;;;;;
14:08:24.783;;;;-20.0;;;;;;-87.0;;;;;
14:08:24.783;;;27.6;;;;;;;;;;;;
14:08:25.743;;;;-20.0;;;;;;-86.0;;;;;
14:08:25.743;;;28.3;;;;;;;;;;;;
14:08:26.703;;;;-20.0;;;;;;-85.0;;;;;
14:08:26.703;;;27.3;;;;;;;;;;;;
14:08:27.662;;;;-20.0;;;;;;-85.0;;;;;
14:08:27.662;;;26.5;;;;;;;;;;;;
14:08:28.623;;;;-20.0;;;;;;-85.0;;;;;
14:08:28.623;;;27.8;;;;;;;;;;;;
14:08:29.903;;;27.1;;;;;;;;;;;;
14:08:30.863;;;28.0;;;;;;;;;;;;
14:08:32.770;;;26.0;;;;;;;;;;;;
14:08:34.051;;;25.5;;;;;;;;;;;;
14:08:35.332;;;23.0;;;;;;;;;;;;
14:08:36.614;;;27.0;;;;;;;;;;;;
14:08:37.423;;;26.5;;;;;;;;;;;;
14:08:38.144;;;25.8;;;;;;;;;;;;
14:08:38.521;8.8;;;;;;;;;;;;;;
