Time,Application throughput downlink,Application throughput uplink,Ping round trip time,RS SNR,RSRQ (detected),RSRP (detected),Longitude,Latitude
14:07:26.102,,,,,"-14.5, -21.4, -17.2, -17.9","-97.8, -100.7, -101.3, -101.8",,
14:07:26.102,,,,8.2,,,,
14:07:26.604,,,,,"-13.9, -16.4, -16.1, -21.7","-94.1, -96.0, -98.3, -99.3",,
14:07:26.604,,,,9.6,,,,
14:07:27.094,,,,,"-16.3, -14.4, -17.3, -21.7","-94.5, -95.0, -99.3, -99.3",15.928567,45.794701
14:07:27.094,,,,9.4,,,15.928567,45.794701
14:07:27.094,,,,3.1,,,15.928567,45.794701
14:07:27.171,3.6,n/a,,,,,15.928567,45.794701
14:07:27.625,,,,,"-16.3, -14.4, -27.4, -17.3, -21.7","-94.5, -95.0, -96.7, -99.3, -99.3",15.928567,45.794701
14:07:27.625,,,,9.1,,,15.928567,45.794701
14:07:27.625,,,,5.3,,,15.928567,45.794701
14:07:28.124,,,,,"-14.4, -15.6, -21.1, -27.4, -21.7, -15.0","-92.3, -93.6, -95.6, -96.7, -99.3, -99.5",15.928572,45.794701
14:07:28.124,,,,9.8,,,15.928572,45.794701
14:07:28.199,4.0,n/a,,,,,15.928572,45.794701
14:07:28.627,,,,,"-14.4, -15.6, -21.6, -27.4, -21.7, -15.0","-92.3, -93.6, -95.9, -96.7, -99.3, -99.5",15.928572,45.794701
14:07:28.627,,,,8.0,,,15.928572,45.794701
14:07:29.129,,,,,"-14.4, -21.6, -27.4, -15.8, -14.9, -21.7","-94.6, -95.9, -96.7, -97.1, -97.4, -99.3",15.928581,45.794701
14:07:29.129,,,,9.5,,,15.928581,45.794701
14:07:29.129,,,,12.8,,,15.928581,45.794701
14:07:29.229,3.5,n/a,,,,,15.928581,45.794701
14:07:29.631,,,,,"-14.4, -21.6, -27.4, -15.8, -14.9","-94.6, -95.9, -96.7, -97.1, -97.4",15.928581,45.794701
14:07:29.631,,,,12.9,,,15.928581,45.794701
14:07:29.631,,,,9.3,,,15.928581,45.794701
14:07:30.131,,,,,"-15.1, -16.4, -18.2, -27.4, -26.2","-90.0, -94.4, -94.4, -96.7, -99.2",15.928594,45.794701
14:07:30.131,,,,11.1,,,15.928594,45.794701
14:07:30.246,3.8,n/a,,,,,15.928594,45.794701
14:07:30.634,,,,,"-15.1, -16.4, -18.2, -25.4","-90.0, -94.4, -94.4, -96.2",15.928594,45.794701
14:07:30.634,,,,10.0,,,15.928594,45.794701
14:07:31.137,,,,,"-14.9, -18.2, -25.4, -14.6","-92.2, -95.1, -96.2, -97.8",15.928607,45.794697
14:07:31.137,,,,9.1,,,15.928607,45.794697
14:07:31.252,4.2,n/a,,,,,15.928607,45.794697
14:07:31.640,,,,,"-14.9, -18.2, -25.4, -23.3, -14.6","-92.2, -95.1, -96.2, -96.3, -97.8",15.928607,45.794697
14:07:31.640,,,,13.8,,,15.928607,45.794697
14:07:31.640,,,,n/a,,,15.928607,45.794697
14:07:32.138,,,,,"-15.6, -18.1, -25.4, -23.3, -21.8","-88.3, -93.8, -96.2, -96.3, -102.7",15.928624,45.794697
14:07:32.138,,,,11.5,,,15.928624,45.794697
14:07:32.276,3.9,n/a,,,,,15.928624,45.794697
14:07:32.646,,,,,"-15.6, -27.3, -18.1, -23.3, -21.8","-88.3, -93.1, -93.8, -96.3, -102.7",15.928624,45.794697
14:07:32.646,,,,14.1,,,15.928624,45.794697
14:07:33.146,,,,,"-15.4, -26.1, -23.3, -16.6, -19.4","-90.8, -91.3, -96.3, -97.4, -97.5",15.928638,45.794697
14:07:33.146,,,,11.3,,,15.928638,45.794697
14:07:33.281,4.2,n/a,,,,,15.928638,45.794697
14:07:33.651,,,,,"-15.4, -26.1, -20.6, -23.3, -16.6, -19.4","-90.8, -91.3, -92.3, -96.3, -97.4, -97.5",15.928638,45.794697
14:07:33.651,,,,12.1,,,15.928638,45.794697
14:07:34.153,,,,,"-26.1, -15.1, -20.6, -23.3, -17.3, -18.8","-91.3, -91.9, -92.9, -96.3, -97.4, -97.4",15.928653,45.794693
14:07:34.153,,,,7.6,,,15.928653,45.794693
14:07:34.288,3.8,n/a,,,,,15.928653,45.794693
14:07:34.654,,,,,"-26.1, -15.1, -20.6, -23.1, -17.3, -18.8","-91.3, -91.9, -92.9, -95.8, -97.4, -97.4",15.928653,45.794693
14:07:34.654,,,,6.5,,,15.928653,45.794693
14:07:35.156,,,,,"-15.0, -16.1, -26.1, -20.6, -22.5, -15.3","-89.4, -89.7, -91.3, -92.9, -95.2, -95.3",15.928664,45.794693
14:07:35.156,,,,6.7,,,15.928664,45.794693
14:07:35.297,3.9,n/a,,,,,15.928664,45.794693
14:07:35.657,,,,,"-15.0, -16.1, -26.1, -20.6, -22.5, -15.3","-89.4, -89.7, -91.3, -92.9, -95.2, -95.3",15.928664,45.794693
14:07:35.657,,,,9.6,,,15.928664,45.794693
14:07:36.158,,,,,"-16.5, -17.0, -17.2, -20.6, -22.5, -25.3","-91.3, -91.8, -92.3, -92.9, -95.2, -95.5",15.928673,45.794689
14:07:36.158,,,,11.8,,,15.928673,45.794689
14:07:36.327,3.7,n/a,,,,,15.928673,45.794689
14:07:36.668,,,,,"-16.0, -20.6, -17.4, -22.5, -25.3, -17.6","-91.8, -92.9, -93.8, -95.2, -95.5, -96.1",15.928686,45.794689
14:07:36.668,,,,11.9,,,15.928686,45.794689
14:07:36.668,,,,2.7,,,15.928686,45.794689
14:07:37.170,,,,,"-16.4, -16.3, -22.5, -24.0, -17.6, -22.8","-92.7, -93.1, -95.2, -95.4, -97.6, -99.9",15.928686,45.794689
14:07:37.170,,,,10.5,,,15.928686,45.794689
14:07:37.170,,,,8.3,,,15.928686,45.794689
14:07:37.405,3.1,n/a,,,,,15.928686,45.794689
14:07:37.672,,,,,"-14.0, -22.5, -24.0, -17.1, -16.2, -22.8","-88.1, -95.2, -95.4, -95.6, -95.8, -99.9",15.928694,45.794693
14:07:37.672,,,,13.8,,,15.928694,45.794693
14:07:37.672,,,,5.9,,,15.928694,45.794693
14:07:38.191,,,,,"-14.3, -17.6, -16.9, -24.6, -21.8, -22.8","-92.4, -95.2, -95.4, -98.0, -98.3, -99.9",15.928694,45.794693
14:07:38.191,,,,13.4,,,15.928694,45.794693
14:07:38.191,,,,7.0,,,15.928694,45.794693
14:07:38.424,3.1,n/a,,,,,15.928694,45.794693
14:07:38.693,,,,,"-13.6, -24.3, -21.8, -17.6, -18.0, -22.8","-93.9, -96.4, -96.7, -97.9, -98.3, -99.9",15.928697,45.794697
14:07:38.693,,,,12.5,,,15.928697,45.794697
14:07:38.693,,,,9.4,,,15.928697,45.794697
14:07:39.195,,,,,"-13.6, -24.3, -21.8, -17.6, -18.0, -22.8","-93.9, -96.4, -96.7, -97.9, -98.3, -99.9",15.928697,45.794697
14:07:39.195,,,,11.1,,,15.928697,45.794697
14:07:39.424,3.7,n/a,,,,,15.928697,45.794697
14:07:39.696,,,,,"-15.2, -13.8, -16.5, -24.3, -21.8, -22.8","-92.9, -93.6, -95.1, -96.4, -96.7, -99.9",15.928704,45.794701
14:07:39.696,,,,6.6,,,15.928704,45.794701
14:07:39.696,,,,7.0,,,15.928704,45.794701
14:07:40.197,,,,,"-15.5, -13.8, -24.3, -21.8, -17.8, -23.2","-94.4, -95.7, -96.4, -96.7, -98.1, -99.7",15.928704,45.794701
14:07:40.197,,,,7.5,,,15.928704,45.794701
14:07:40.197,,,,6.1,,,15.928704,45.794701
14:07:40.431,3.6,n/a,,,,,15.928704,45.794701
14:07:40.699,,,,,"-15.5, -13.8, -24.3, -21.8, -17.8, -23.2","-94.4, -95.7, -96.4, -96.7, -98.1, -99.7",15.928704,45.794701
14:07:40.699,,,,8.4,,,15.928704,45.794701
14:07:41.199,,,,,"-14.6, -24.3, -21.8, -18.9, -23.2, -20.9","-90.9, -96.4, -96.7, -97.9, -99.7, -100.5",15.928714,45.794701
14:07:41.199,,,,12.4,,,15.928714,45.794701
14:07:41.451,3.7,n/a,,,,,15.928714,45.794701
14:07:41.703,,,,,"-14.6, -23.4, -18.9, -23.2, -20.9","-90.9, -96.3, -97.9, -99.7, -100.5",15.928724,45.794704
14:07:41.703,,,,11.5,,,15.928724,45.794704
14:07:42.202,,,,,"-12.3, -15.9, -23.4, -23.2, -21.5","-90.1, -95.5, -96.3, -99.7, -103.7",15.928724,45.794704
14:07:42.202,,,,11.1,,,15.928724,45.794704
14:07:42.202,,,,n/a,,,15.928724,45.794704
14:07:42.202,,,,9.5,,,15.928724,45.794704
14:07:42.460,3.8,n/a,,,,,15.928724,45.794704
14:07:42.703,,,,,"-12.3, -15.9, -23.4, -23.2, -21.5","-90.1, -95.5, -96.3, -99.7, -103.7",15.928739,45.794708
14:07:42.703,,,,10.0,,,15.928739,45.794708
14:07:43.204,,,,,"-12.2, -23.4, -17.8, -20.8","-92.9, -96.3, -97.8, -98.9",15.928739,45.794708
14:07:43.204,,,,9.0,,,15.928739,45.794708
14:07:43.474,4.0,n/a,,,,,15.928739,45.794708
14:07:43.709,,,,,"-15.0, -12.8, -23.1, -19.4","-92.3, -94.8, -97.9, -98.1",15.928751,45.794708
14:07:43.709,,,,7.0,,,15.928751,45.794708
14:07:43.709,,,,12.1,,,15.928751,45.794708
14:07:44.210,,,,,"-14.7, -12.3, -23.2, -19.5, -23.7","-94.3, -95.9, -98.3, -98.6, -107.5",15.928751,45.794708
14:07:44.210,,,,5.8,,,15.928751,45.794708
14:07:44.210,,,,18.4,,,15.928751,45.794708
14:07:44.574,3.0,n/a,,,,,15.928751,45.794708
14:07:44.713,,,,,"-15.8, -19.9, -23.2, -14.3, -23.8","-93.6, -97.9, -98.3, -99.6, -105.6",15.928767,45.794708
14:07:44.713,,,,3.6,,,15.928767,45.794708
14:07:44.713,,,,13.4,,,15.928767,45.794708
14:07:45.215,,,,,"-15.9, -23.2, -14.6, -20.6, -23.8","-94.3, -98.3, -99.4, -99.8, -105.6",15.928767,45.794708
14:07:45.215,,,,5.6,,,15.928767,45.794708
14:07:45.215,,,,19.7,,,15.928767,45.794708
14:07:45.589,3.5,n/a,,,,,15.928767,45.794708
14:07:45.715,,,,,"-13.3, -23.2, -20.4, -17.9, -23.8","-97.2, -98.3, -100.4, -103.3, -105.6",15.928767,45.794708
14:07:45.715,,,,5.1,,,15.928767,45.794708
14:07:45.715,,,,18.1,,,15.928767,45.794708
14:07:46.217,,,,,"-13.7, -23.2, -17.5, -25.4, -20.7, -23.8","-97.4, -98.3, -98.9, -101.9, -101.9, -105.6",15.928787,45.794708
14:07:46.217,,,,3.7,,,15.928787,45.794708
14:07:46.217,,,,16.7,,,15.928787,45.794708
14:07:46.595,3.2,n/a,,,,,15.928787,45.794708
14:07:46.720,,,,,"-13.7, -23.2, -17.5, -24.8, -20.7, -23.8","-97.4, -98.3, -98.9, -99.3, -101.9, -105.6",15.928802,45.794704
14:07:46.720,,,,7.6,,,15.928802,45.794704
14:07:46.720,,,,18.9,,,15.928802,45.794704
14:07:47.226,,,,,"-12.3, -24.8, -19.6, -22.0, -23.8","-94.4, -99.3, -99.6, -101.4, -105.6",15.928802,45.794704
