Time,Application throughput downlink,Application throughput uplink,Ping round trip time,RS SNR,RSRQ (detected),RSRP (detected),Longitude,Latitude
20:30:15.973,2.0,n/a,,,,,15.920016,45.804012
20:30:16.982,1.6,n/a,,,,,15.920016,45.804012
20:30:18.002,1.4,n/a,,,,,15.920017,45.804016
20:30:19.009,1.5,n/a,,,,,15.920018,45.804016
20:30:20.159,1.2,n/a,,,,,15.920026,45.804016
20:30:21.161,1.3,n/a,,,,,15.920038,45.804020
20:30:22.230,0.9,n/a,,,,,15.920048,45.804020
20:30:23.249,1.3,n/a,,,,,15.920060,45.804024
20:30:24.272,1.6,n/a,,,,,15.920069,45.804028
20:30:25.304,1.5,n/a,,,,,15.920076,45.804031
20:30:26.322,1.6,n/a,,,,,15.920081,45.804035
20:30:27.344,1.5,n/a,,,,,15.920095,45.804043
20:30:28.405,1.3,n/a,,,,,15.920103,45.804047
20:30:29.419,1.5,n/a,,,,,15.920109,45.804050
20:30:30.432,1.5,n/a,,,,,15.920116,45.804054
20:30:31.435,1.5,n/a,,,,,15.920127,45.804062
20:30:32.439,1.5,n/a,,,,,15.920140,45.804073
20:30:33.462,1.2,n/a,,,,,15.920154,45.804081
20:30:34.465,1.0,n/a,,,,,15.920154,45.804081
20:30:35.505,1.1,n/a,,,,,15.920176,45.804100
20:30:36.519,1.3,n/a,,,,,15.920186,45.804108
20:30:37.522,1.7,n/a,,,,,15.920193,45.804115
20:30:38.560,1.4,n/a,,,,,15.920197,45.804123
20:30:39.594,1.5,n/a,,,,,15.920197,45.804123
20:30:40.619,1.5,n/a,,,,,15.920203,45.804138
20:30:41.631,1.0,n/a,,,,,15.920211,45.804150
20:30:42.633,1.6,n/a,,,,,15.920223,45.804157
20:30:43.648,1.7,n/a,,,,,15.920241,45.804169
20:30:44.662,1.5,n/a,,,,,15.920253,45.804176
20:30:49.925,,,,,"-12.0, -17.0","-75.0, -80.0",15.920301,45.804222
20:30:52.695,,,,,"-7.0, -16.0","-76.0, -81.0",15.920305,45.804249
20:31:01.079,,,423,,,,15.920401,45.804306
20:31:01.506,,,135,,,,15.920413,45.804310
20:31:02.495,,,123,,,,15.920424,45.804314
20:31:03.698,,,121,,,,15.920440,45.804321
20:31:04.495,,,119,,,,15.920457,45.804325
20:31:05.505,,,127,,,,15.920471,45.804333
20:31:06.510,,,127,,,,15.920488,45.804337
20:31:07.516,,,135,,,,15.920505,45.804344
20:31:08.927,,,124,,,,15.920522,45.804348
20:31:09.509,,,122,,,,15.920539,45.804352
20:31:26.911,1.5,n/a,,,,,15.920794,45.804474
20:31:27.919,1.3,n/a,,,,,15.920804,45.804482
20:31:28.971,1.6,n/a,,,,,15.920816,45.804485
20:31:29.971,1.7,n/a,,,,,15.920829,45.804497
20:31:31.009,1.5,n/a,,,,,15.920839,45.804501
20:31:32.018,1.4,n/a,,,,,15.920851,45.804508
20:31:33.033,1.6,n/a,,,,,15.920868,45.804516
20:31:34.070,1.7,n/a,,,,,15.920886,45.804523
20:31:35.077,1.8,n/a,,,,,15.920905,45.804531
20:31:36.087,1.7,n/a,,,,,15.920916,45.804539
20:31:37.093,1.7,n/a,,,,,15.920925,45.804543
20:31:38.108,1.8,n/a,,,,,15.920937,45.804554
20:31:39.115,1.7,n/a,,,,,15.920947,45.804565
20:31:40.120,1.7,n/a,,,,,15.920954,45.804573
20:31:41.123,1.6,n/a,,,,,15.920959,45.804585
20:31:42.163,1.6,n/a,,,,,15.920962,45.804592
20:31:43.198,1.4,n/a,,,,,15.920967,45.804600
20:31:44.222,1.4,n/a,,,,,15.920974,45.804607
20:31:45.245,1.0,n/a,,,,,15.920984,45.804619
20:31:46.262,1.3,n/a,,,,,15.920994,45.804626
20:31:47.273,1.6,n/a,,,,,15.921000,45.804634
20:31:48.352,1.2,n/a,,,,,15.921003,45.804649
20:31:49.366,1.4,n/a,,,,,15.921009,45.804657
20:31:50.371,1.0,n/a,,,,,15.921009,45.804657
20:31:51.383,1.2,n/a,,,,,15.921036,45.804672
20:31:52.394,1.6,n/a,,,,,15.921050,45.804680
20:31:53.415,1.2,n/a,,,,,15.921057,45.804688
20:31:54.418,1.5,n/a,,,,,15.921066,45.804691
20:31:55.426,1.5,n/a,,,,,15.921078,45.804703
20:32:11.982,,,395,,,,15.921332,45.804817
20:32:12.319,,,38,,,,15.921332,45.804817
20:32:13.332,,,45,,,,15.921361,45.804832
20:32:14.615,,,51,,,,15.921372,45.804840
20:32:15.333,,,46,,,,15.921384,45.804848
20:32:16.352,,,65,,,,15.921394,45.804855
20:32:17.352,,,64,,,,15.921405,45.804867
20:32:18.353,,,62,,,,15.921408,45.804871
20:32:19.807,,,63,,,,15.921409,45.804878
20:32:20.359,,,64,,,,15.921415,45.804890
20:32:37.703,1.7,n/a,,,,,15.921638,45.805023
20:32:38.712,1.3,n/a,,,,,15.921659,45.805031
20:32:39.720,1.8,n/a,,,,,15.921681,45.805042
20:32:40.775,1.7,n/a,,,,,15.921703,45.805050
20:32:41.806,1.3,n/a,,,,,15.921725,45.805058
20:32:42.810,1.6,n/a,,,,,15.921744,45.805065
20:32:43.825,1.8,n/a,,,,,15.921759,45.805073
20:32:44.850,1.7,n/a,,,,,15.921769,45.805077
20:32:45.855,1.3,n/a,,,,,15.921769,45.805077
20:32:46.900,1.4,n/a,,,,,15.921791,45.805099
20:32:47.909,1.8,n/a,,,,,15.921796,45.805107
20:32:48.911,1.9,n/a,,,,,15.921804,45.805119
20:32:49.921,1.3,n/a,,,,,15.921821,45.805130
20:32:51.040,1.5,n/a,,,,,15.921840,45.805138
20:32:52.098,2.0,n/a,,,,,15.921857,45.805149
20:32:53.118,1.7,n/a,,,,,15.921876,45.805157
20:32:54.123,1.7,n/a,,,,,15.921893,45.805161
20:32:55.134,1.6,n/a,,,,,15.921907,45.805168
20:32:56.144,1.6,n/a,,,,,15.921921,45.805176
20:32:57.148,1.8,n/a,,,,,15.921937,45.805183
20:32:58.163,1.8,n/a,,,,,15.921954,45.805195
20:32:59.172,1.7,n/a,,,,,15.921964,45.805206
20:33:00.196,1.8,n/a,,,,,15.921971,45.805214
20:33:01.198,1.8,n/a,,,,,15.921980,45.805222
20:33:02.206,1.7,n/a,,,,,15.921989,45.805229
20:33:03.226,1.8,n/a,,,,,15.921994,45.805237
20:33:04.228,1.8,n/a,,,,,15.922002,45.805244
20:33:05.259,1.7,n/a,,,,,15.922011,45.805252
20:33:06.263,1.7,n/a,,,,,15.922022,45.805260
20:33:22.873,,,447,,,,15.922242,45.805386
20:33:23.305,,,148,,,,15.922242,45.805386
20:33:24.286,,,124,,,,15.922256,45.805393
20:33:25.463,,,122,,,,15.922289,45.805405
20:33:26.285,,,122,,,,15.922289,45.805405
20:33:27.285,,,120,,,,15.922302,45.805408
20:33:28.286,,,118,,,,15.922316,45.805416
20:33:29.284,,,116,,,,15.922329,45.805424
20:33:30.684,,,126,,,,15.922357,45.805439
20:33:31.340,,,145,,,,15.922357,45.805439
20:33:48.853,2.1,n/a,,,,,15.922578,45.805584
20:33:49.895,1.4,n/a,,,,,15.922579,45.805595
20:33:50.932,1.0,n/a,,,,,15.922577,45.805599
20:33:51.944,0.7,n/a,,,,,15.922576,45.805607
20:33:52.952,1.2,n/a,,,,,15.922579,45.805611
20:33:53.959,1.0,n/a,,,,,15.922585,45.805618
20:33:54.962,1.1,n/a,,,,,15.922592,45.805622
20:33:55.985,1.0,n/a,,,,,15.922598,45.805626
20:33:56.999,1.1,n/a,,,,,15.922606,45.805634
20:33:58.027,1.7,n/a,,,,,15.922615,45.805641
20:33:59.073,1.3,n/a,,,,,15.922626,45.805649
20:34:00.146,1.2,n/a,,,,,15.922635,45.805656
20:34:01.158,1.5,n/a,,,,,15.922646,45.805664
20:34:02.158,1.2,n/a,,,,,15.922658,45.805676
20:34:03.183,1.0,n/a,,,,,15.922670,45.805683
20:34:04.198,1.5,n/a,,,,,15.922681,45.805691
20:34:05.218,1.6,n/a,,,,,15.922694,45.805698
20:34:06.241,1.5,n/a,,,,,15.922710,45.805706
20:34:07.256,2.0,n/a,,,,,15.922725,45.805714
20:34:08.263,1.5,n/a,,,,,15.922735,45.805714
20:34:09.287,1.5,n/a,,,,,15.922743,45.805717
20:34:10.296,1.5,n/a,,,,,15.922752,45.805721
20:34:11.301,1.6,n/a,,,,,15.922764,45.805725
20:34:12.397,1.5,n/a,,,,,15.922771,45.805725
20:34:13.434,1.7,n/a,,,,,15.922799,45.805740
20:34:14.465,1.6,n/a,,,,,15.922812,45.805748
20:34:15.480,1.6,n/a,,,,,15.922827,45.805756
20:34:16.510,1.6,n/a,,,,,15.922844,45.805763
20:34:17.549,1.7,n/a,,,,,15.922844,45.805763
20:34:18.576,1.7,n/a,,,,,15.922869,45.805775
20:34:34.524,,,446,,,,15.923068,45.805897
20:34:35.196,,,116,,,,15.923068,45.805897
20:34:36.206,,,124,,,,15.923080,45.805904
20:34:37.227,,,142,,,,15.923092,45.805916
20:34:38.713,,,120,,,,15.923105,45.805931
20:34:39.226,,,141,,,,15.923105,45.805931
20:34:40.225,,,127,,,,15.923110,45.805939
20:34:41.357,,,138,,,,15.923110,45.805946
20:34:42.215,,,125,,,,15.923112,45.805954
20:34:43.238,,,145,,,,15.923114,45.805962
20:34:48.077,,,,,-11.0,-66.0,15.923153,45.806004
20:34:50.780,,,,,-6.0,-66.0,15.923193,45.806026
20:35:00.424,2.3,n/a,,,,,15.923366,45.806091
20:35:01.440,1.5,n/a,,,,,15.923388,45.806099
20:35:02.440,1.6,n/a,,,,,15.923407,45.806103
20:35:03.456,1.5,n/a,,,,,15.923424,45.806110
20:35:04.483,1.6,n/a,,,,,15.923424,45.806110
20:35:05.496,1.6,n/a,,,,,15.923451,45.806129
20:35:06.522,1.7,n/a,,,,,15.923460,45.806137
20:35:07.552,1.5,n/a,,,,,15.923470,45.806145
20:35:08.567,1.5,n/a,,,,,15.923482,45.806152
20:35:09.594,1.7,n/a,,,,,15.923494,45.806160
20:35:10.628,1.6,n/a,,,,,15.923504,45.806168
20:35:11.648,1.7,n/a,,,,,15.923514,45.806179
20:35:12.667,1.5,n/a,,,,,15.923514,45.806179
20:35:13.682,1.6,n/a,,,,,15.923536,45.806194
20:35:14.718,1.5,n/a,,,,,15.923547,45.806198
20:35:15.723,1.5,n/a,,,,,15.923562,45.806210
20:35:16.777,1.5,n/a,,,,,15.923581,45.806217
20:35:17.789,1.5,n/a,,,,,15.923592,45.806225
20:35:18.812,1.6,n/a,,,,,15.923594,45.806229
20:35:19.832,1.7,n/a,,,,,15.923602,45.806236
20:35:20.842,1.8,n/a,,,,,15.923614,45.806244
20:35:21.871,1.7,n/a,,,,,15.923627,45.806248
20:35:22.939,1.7,n/a,,,,,15.923637,45.806255
20:35:23.971,1.7,n/a,,,,,15.923644,45.806263
20:35:24.981,1.4,n/a,,,,,15.923649,45.806267
20:35:25.981,1.8,n/a,,,,,15.923657,45.806278
20:35:26.982,1.7,n/a,,,,,15.923670,45.806286
20:35:28.012,1.9,n/a,,,,,15.923688,45.806293
20:35:29.069,1.6,n/a,,,,,15.923704,45.806297
20:35:45.168,,,406,,,,15.923927,45.806427
20:35:45.907,,,145,,,,15.923943,45.806431
20:35:46.885,,,122,,,,15.923958,45.806438
20:35:47.907,,,142,,,,15.923977,45.806446
20:35:49.375,,,129,,,,15.923991,45.806454
20:35:49.906,,,138,,,,15.923998,45.806458
20:35:50.895,,,125,,,,15.924005,45.806465
20:35:52.906,,,132,,,,15.924033,45.806480
20:35:53.907,,,131,,,,15.924051,45.806484
20:35:57.615,,,,,-4.0,-77.0,15.924103,45.806515
20:36:00.186,,,,,-5.0,-78.0,15.924133,45.806526
20:36:12.470,1.5,n/a,,,,,15.924283,45.806610
20:36:13.515,1.5,n/a,,,,,15.924281,45.806629
20:36:14.540,1.4,n/a,,,,,15.924275,45.806644
20:36:15.567,1.6,n/a,,,,,15.924271,45.806660
20:36:16.583,1.4,n/a,,,,,15.924279,45.806671
20:36:17.603,1.6,n/a,,,,,15.924284,45.806679
20:36:18.631,1.4,n/a,,,,,15.924289,45.806683
20:36:19.633,1.5,n/a,,,,,15.924291,45.806694
20:36:20.642,1.7,n/a,,,,,15.924291,45.806694
20:36:21.677,1.6,n/a,,,,,15.924291,45.806717
20:36:22.681,1.6,n/a,,,,,15.924289,45.806725
20:36:23.717,1.5,n/a,,,,,15.924285,45.806732
20:36:24.737,1.5,n/a,,,,,15.924284,45.806744
20:36:25.750,1.6,n/a,,,,,15.924285,45.806747
20:36:26.761,1.8,n/a,,,,,15.924291,45.806747
20:36:27.779,1.9,n/a,,,,,15.924298,45.806747
20:36:28.802,1.8,n/a,,,,,15.924304,45.806747
20:36:29.820,1.7,n/a,,,,,15.924308,45.806751
20:36:30.860,1.7,n/a,,,,,15.924301,45.806759
20:36:31.881,1.5,n/a,,,,,15.924303,45.806763
20:36:32.899,1.9,n/a,,,,,15.924314,45.806759
20:36:33.901,1.6,n/a,,,,,15.924320,45.806759
20:36:34.914,2.0,n/a,,,,,15.924325,45.806759
20:36:35.955,1.7,n/a,,,,,15.924321,45.806759
20:36:36.982,1.5,n/a,,,,,15.924311,45.806759
20:36:37.993,1.7,n/a,,,,,15.924305,45.806751
20:36:38.995,1.8,n/a,,,,,15.924301,45.806751
20:36:40.010,1.9,n/a,,,,,15.924299,45.806747
20:36:41.010,1.9,n/a,,,,,15.924299,45.806744
20:36:58.421,,,1466,,,,15.924415,45.806747
20:36:58.435,,,481,,,,15.924415,45.806747
20:36:59.068,,,112,,,,15.924415,45.806747
20:37:00.298,,,121,,,,15.924426,45.806744
20:37:01.075,,,119,,,,15.924437,45.806744
20:37:02.075,,,118,,,,15.924446,45.806740
20:37:03.077,,,118,,,,15.924462,45.806744
20:37:04.065,,,106,,,,15.924481,45.806744
20:37:05.521,,,119,,,,15.924504,45.806744
20:37:06.077,,,118,,,,15.924504,45.806744
20:37:23.460,2.0,n/a,,,,,15.924693,45.806881
20:37:24.465,1.6,n/a,,,,,15.924714,45.806900
20:37:25.466,1.6,n/a,,,,,15.924722,45.806911
20:37:26.466,1.4,n/a,,,,,15.924730,45.806919
20:37:27.488,1.6,n/a,,,,,15.924736,45.806927
20:37:28.511,1.5,n/a,,,,,15.924742,45.806934
20:37:29.550,1.3,n/a,,,,,15.924752,45.806950
20:37:30.556,1.5,n/a,,,,,15.924760,45.806961
20:37:31.577,1.7,n/a,,,,,15.924760,45.806961
20:37:32.588,1.7,n/a,,,,,15.924778,45.806984
20:37:33.609,1.7,n/a,,,,,15.924788,45.806995
20:37:34.617,1.6,n/a,,,,,15.924799,45.807007
20:37:35.616,1.7,n/a,,,,,15.924814,45.807018
20:37:36.624,1.6,n/a,,,,,15.924814,45.807018
20:37:37.669,1.6,n/a,,,,,15.924845,45.807034
20:37:38.702,1.5,n/a,,,,,15.924862,45.807041
20:37:39.702,1.4,n/a,,,,,15.924872,45.807049
20:37:40.728,1.8,n/a,,,,,15.924880,45.807056
20:37:41.738,1.6,n/a,,,,,15.924888,45.807064
20:37:42.746,1.7,n/a,,,,,15.924898,45.807076
20:37:43.756,1.6,n/a,,,,,15.924913,45.807083
20:37:44.815,1.5,n/a,,,,,15.924932,45.807091
20:37:45.843,1.6,n/a,,,,,15.924950,45.807102
20:37:46.860,1.6,n/a,,,,,15.924966,45.807106
20:37:47.867,1.7,n/a,,,,,15.924980,45.807110
20:37:48.912,1.6,n/a,,,,,15.924989,45.807114
20:37:49.932,1.6,n/a,,,,,15.924997,45.807117
20:37:50.936,1.5,n/a,,,,,15.925009,45.807121
20:37:51.947,1.2,n/a,,,,,15.925023,45.807133
20:38:08.657,,,397,,,,15.925232,45.807266
20:38:09.078,,,120,,,,15.925232,45.807266
20:38:10.079,,,119,,,,15.925237,45.807274
20:38:11.266,,,118,,,,15.925244,45.807285
20:38:12.076,,,117,,,,15.925251,45.807297
20:38:13.078,,,117,,,,15.925263,45.807308
20:38:14.088,,,125,,,,15.925275,45.807320
20:38:14.400,,,n/a,,,,15.925284,45.807327
20:38:14.400,,,n/a,,,,15.925284,45.807327
20:38:14.400,,,n/a,,,,15.925284,45.807327
