Time,Application throughput downlink,Application throughput uplink,Ping round trip time,RS SNR,RSRQ (detected),RSRP (detected),Longitude,Latitude
20:30:18.110,2.4,n/a,,,,,15.920062,45.804043
20:30:19.110,5.7,n/a,,,,,15.920061,45.804043
20:30:20.111,11.0,n/a,,,,,15.920059,45.804043
20:30:21.119,9.1,n/a,,,,,15.920050,45.804047
20:30:22.125,11.8,n/a,,,,,15.920049,45.804047
20:30:23.126,12.6,n/a,,,,,15.920057,45.804050
20:30:24.127,12.2,n/a,,,,,15.920064,45.804050
20:30:25.129,11.6,n/a,,,,,15.920073,45.804050
20:30:26.129,11.8,n/a,,,,,15.920080,45.804047
20:30:27.130,10.5,n/a,,,,,15.920080,45.804047
20:30:28.131,10.3,n/a,,,,,15.920084,45.804054
20:30:29.132,7.2,n/a,,,,,15.920093,45.804058
20:30:30.140,6.1,n/a,,,,,15.920106,45.804062
20:30:31.153,6.4,n/a,,,,,15.920114,45.804073
20:30:32.172,5.7,n/a,,,,,15.920121,45.804077
20:30:33.172,7.3,n/a,,,,,15.920130,45.804085
20:30:34.172,6.9,n/a,,,,,15.920141,45.804089
20:30:35.264,7.1,n/a,,,,,15.920149,45.804100
20:30:36.265,10.7,n/a,,,,,15.920151,45.804108
20:30:37.276,11.6,n/a,,,,,15.920155,45.804115
20:30:38.282,12.2,n/a,,,,,15.920158,45.804123
20:30:39.282,10.5,n/a,,,,,15.920164,45.804127
20:30:40.282,6.7,n/a,,,,,15.920175,45.804127
20:30:41.290,6.6,n/a,,,,,15.920177,45.804131
20:30:42.290,7.2,n/a,,,,,15.920179,45.804138
20:30:43.290,7.4,n/a,,,,,15.920181,45.804146
20:30:44.304,5.7,n/a,,,,,15.920184,45.804157
20:30:45.305,6.1,n/a,,,,,15.920193,45.804169
20:30:46.307,6.5,n/a,,,,,15.920212,45.804188
20:30:47.310,5.3,n/a,,,,,15.920228,45.804199
20:31:03.803,,,235,,,,15.920415,45.804337
20:31:04.801,,,224,,,,15.920436,45.804340
20:31:05.805,,,232,,,,15.920453,45.804344
20:31:06.808,,,231,,,,15.920470,45.804344
20:31:07.784,,,209,,,,15.920491,45.804344
20:31:08.784,,,207,,,,15.920512,45.804348
20:31:09.808,,,226,,,,15.920533,45.804356
20:31:10.808,,,224,,,,15.920554,45.804363
20:31:11.800,,,213,,,,15.920565,45.804367
20:31:12.822,,,231,,,,15.920578,45.804375
20:31:30.215,6.3,n/a,,,,,15.920802,45.804493
20:31:31.219,10.9,n/a,,,,,15.920811,45.804497
20:31:32.240,17.7,n/a,,,,,15.920817,45.804501
20:31:33.241,12.1,n/a,,,,,15.920821,45.804501
20:31:34.242,8.3,n/a,,,,,15.920827,45.804508
20:31:35.254,9.1,n/a,,,,,15.920828,45.804516
20:31:36.259,7.3,n/a,,,,,15.920824,45.804516
20:31:37.259,7.7,n/a,,,,,15.920822,45.804520
20:31:38.266,8.9,n/a,,,,,15.920824,45.804523
20:31:39.266,8.6,n/a,,,,,15.920817,45.804516
20:31:40.267,8.9,n/a,,,,,15.920807,45.804512
20:31:41.270,7.5,n/a,,,,,15.920794,45.804504
20:31:42.273,8.2,n/a,,,,,15.920786,45.804504
20:31:43.282,6.7,n/a,,,,,15.920783,45.804508
20:31:44.283,7.8,n/a,,,,,15.920785,45.804516
20:31:45.290,7.0,n/a,,,,,15.920785,45.804516
20:31:46.291,6.6,n/a,,,,,15.920785,45.804520
20:31:47.294,6.1,n/a,,,,,15.920782,45.804527
20:31:48.294,6.9,n/a,,,,,15.920778,45.804531
20:31:49.297,7.5,n/a,,,,,15.920778,45.804531
20:31:50.297,8.5,n/a,,,,,15.920778,45.804531
20:31:51.297,10.0,n/a,,,,,15.920778,45.804531
20:31:52.297,11.6,n/a,,,,,15.920778,45.804531
20:31:53.299,10.2,n/a,,,,,15.920778,45.804535
20:31:54.386,8.3,n/a,,,,,15.920775,45.804539
20:31:55.469,6.3,n/a,,,,,15.920767,45.804531
20:31:56.483,8.1,n/a,,,,,15.920754,45.804527
20:31:57.528,8.5,n/a,,,,,15.920737,45.804531
20:31:58.528,6.8,n/a,,,,,15.920737,45.804531
20:31:59.536,6.8,n/a,,,,,15.920728,45.804520
20:32:16.217,,,782,,,,15.920752,45.804611
20:32:16.660,,,223,,,,15.920754,45.804630
20:32:17.659,,,221,,,,15.920755,45.804649
20:32:18.671,,,220,,,,15.920759,45.804668
20:32:19.643,,,209,,,,15.920763,45.804684
20:32:20.667,,,228,,,,15.920764,45.804691
20:32:21.644,,,207,,,,15.920762,45.804703
20:32:22.644,,,205,,,,15.920763,45.804710
20:32:23.643,,,203,,,,15.920765,45.804718
20:32:24.681,,,222,,,,15.920766,45.804722
20:32:42.742,7.4,n/a,,,,,15.920860,45.804878
20:32:43.747,11.5,n/a,,,,,15.920866,45.804886
20:32:44.749,18.4,n/a,,,,,15.920871,45.804897
20:32:45.752,18.2,n/a,,,,,15.920877,45.804909
20:32:46.759,13.9,n/a,,,,,15.920885,45.804913
20:32:47.762,14.0,n/a,,,,,15.920897,45.804924
20:32:48.773,10.7,n/a,,,,,15.920909,45.804935
20:32:49.774,10.3,n/a,,,,,15.920917,45.804939
20:32:50.782,10.6,n/a,,,,,15.920928,45.804939
20:32:51.798,9.5,n/a,,,,,15.920928,45.804939
20:32:52.814,6.7,n/a,,,,,15.920936,45.804943
20:32:53.823,5.5,n/a,,,,,15.920944,45.804947
20:32:54.829,5.9,n/a,,,,,15.920950,45.804951
20:32:55.830,5.1,n/a,,,,,15.920957,45.804955
20:32:56.840,4.9,n/a,,,,,15.920965,45.804962
20:32:57.840,5.5,n/a,,,,,15.920968,45.804966
20:32:58.840,5.7,n/a,,,,,15.920974,45.804970
20:32:59.853,5.1,n/a,,,,,15.920980,45.804974
20:33:00.878,5.6,n/a,,,,,15.920980,45.804974
20:33:01.879,5.7,n/a,,,,,15.920980,45.804974
20:33:02.880,5.8,n/a,,,,,15.920990,45.804970
20:33:03.880,5.0,n/a,,,,,15.921000,45.804970
20:33:04.910,5.4,n/a,,,,,15.921009,45.804970
20:33:05.912,5.9,n/a,,,,,15.921009,45.804970
20:33:06.912,6.1,n/a,,,,,15.921009,45.804970
20:33:07.914,5.4,n/a,,,,,15.921014,45.804977
20:33:08.943,6.3,n/a,,,,,15.921018,45.804989
20:33:09.954,7.3,n/a,,,,,15.921018,45.804989
20:33:11.011,7.4,n/a,,,,,15.921018,45.804989
20:33:27.801,,,221,,,,15.921162,45.805126
20:33:28.707,,,239,,,,15.921162,45.805126
20:33:29.678,,,208,,,,15.921162,45.805126
20:33:30.690,,,217,,,,15.921174,45.805138
20:33:31.693,,,226,,,,15.921189,45.805149
20:33:32.683,,,215,,,,15.921199,45.805164
20:33:33.686,,,214,,,,15.921209,45.805176
20:33:34.831,,,353,,,,15.921222,45.805180
20:33:35.698,,,221,,,,15.921238,45.805183
20:33:36.721,,,239,,,,15.921250,45.805191
20:33:53.937,7.7,n/a,,,,,15.921360,45.805302
20:33:54.938,8.2,n/a,,,,,15.921364,45.805305
20:33:55.942,7.9,n/a,,,,,15.921372,45.805313
20:33:56.946,7.4,n/a,,,,,15.921372,45.805325
20:33:57.954,6.8,n/a,,,,,15.921372,45.805328
20:33:58.955,6.9,n/a,,,,,15.921379,45.805336
20:33:59.962,7.2,n/a,,,,,15.921384,45.805340
20:34:00.962,6.7,n/a,,,,,15.921389,45.805340
20:34:01.966,7.0,n/a,,,,,15.921389,45.805340
20:34:03.071,6.9,n/a,,,,,15.921389,45.805340
20:34:04.071,6.8,n/a,,,,,15.921389,45.805340
20:34:05.074,6.0,n/a,,,,,15.921399,45.805344
20:34:06.086,7.4,n/a,,,,,15.921406,45.805344
20:34:07.086,7.2,n/a,,,,,15.921406,45.805340
20:34:08.088,7.2,n/a,,,,,15.921406,45.805340
20:34:09.094,6.1,n/a,,,,,15.921413,45.805347
20:34:10.094,6.6,n/a,,,,,15.921420,45.805347
20:34:11.094,6.7,n/a,,,,,15.921420,45.805347
20:34:12.099,5.5,n/a,,,,,15.921420,45.805347
20:34:13.108,5.4,n/a,,,,,15.921420,45.805347
20:34:14.110,7.1,n/a,,,,,15.921435,45.805351
20:34:15.110,6.1,n/a,,,,,15.921444,45.805363
20:34:16.110,7.2,n/a,,,,,15.921448,45.805367
20:34:17.111,10.5,n/a,,,,,15.921451,45.805370
20:34:18.125,10.6,n/a,,,,,15.921456,45.805378
20:34:19.134,8.3,n/a,,,,,15.921465,45.805386
20:34:20.141,10.3,n/a,,,,,15.921480,45.805389
20:34:21.151,8.5,n/a,,,,,15.921512,45.805405
20:34:22.157,8.4,n/a,,,,,15.921512,45.805405
20:34:23.164,9.5,n/a,,,,,15.921512,45.805405
20:34:39.877,,,490,,,,15.921667,45.805531
20:34:40.613,,,230,,,,15.921673,45.805538
20:34:41.605,,,219,,,,15.921683,45.805542
20:34:42.596,,,207,,,,15.921702,45.805546
20:34:43.597,,,206,,,,15.921713,45.805550
20:34:44.613,,,224,,,,15.921727,45.805553
20:34:45.589,,,193,,,,15.921741,45.805565
20:34:46.628,,,231,,,,15.921757,45.805573
20:34:47.612,,,220,,,,15.921766,45.805580
20:34:48.633,,,229,,,,15.921773,45.805588
20:35:06.595,2.2,n/a,,,,,15.922009,45.805717
20:35:07.605,8.9,n/a,,,,,15.922015,45.805725
20:35:08.608,15.8,n/a,,,,,15.922015,45.805725
20:35:09.622,14.3,n/a,,,,,15.922015,45.805740
20:35:10.623,16.0,n/a,,,,,15.922033,45.805748
20:35:11.625,16.4,n/a,,,,,15.922051,45.805759
20:35:12.626,19.2,n/a,,,,,15.922063,45.805775
20:35:13.626,20.3,n/a,,,,,15.922075,45.805782
20:35:14.630,15.7,n/a,,,,,15.922084,45.805790
20:35:15.635,16.8,n/a,,,,,15.922093,45.805794
20:35:16.739,15.7,n/a,,,,,15.922100,45.805801
20:35:17.754,13.4,n/a,,,,,15.922106,45.805805
20:35:18.768,13.9,n/a,,,,,15.922106,45.805805
20:35:19.769,15.8,n/a,,,,,15.922114,45.805813
20:35:20.774,15.5,n/a,,,,,15.922119,45.805820
20:35:21.783,15.3,n/a,,,,,15.922118,45.805828
20:35:22.789,16.6,n/a,,,,,15.922117,45.805836
20:35:23.798,16.6,n/a,,,,,15.922120,45.805840
20:35:24.799,16.1,n/a,,,,,15.922120,45.805840
20:35:25.803,16.5,n/a,,,,,15.922120,45.805840
20:35:26.804,17.0,n/a,,,,,15.922120,45.805840
20:35:27.820,15.4,n/a,,,,,15.922120,45.805840
20:35:28.850,15.3,n/a,,,,,15.922120,45.805840
20:35:29.854,13.0,n/a,,,,,15.922127,45.805851
20:35:30.857,11.3,n/a,,,,,15.922138,45.805862
20:35:31.860,10.3,n/a,,,,,15.922138,45.805862
20:35:32.860,9.7,n/a,,,,,15.922132,45.805866
20:35:33.861,9.0,n/a,,,,,15.922137,45.805878
20:35:34.863,8.4,n/a,,,,,15.922147,45.805885
20:35:51.562,,,220,,,,15.922412,45.806038
